Date,Price in Contemporary Dollars,Price in $ 2013
2013-12-31,108.65851778656,108.65851778656
2012-12-31,111.66970238095,113.30539499098
2011-12-31,111.255598,115.22132819692
2010-12-31,79.4955336,84.927913108812
2009-12-31,61.6712648,66.966317390537
2008-12-31,97.2559728,105.23058041722
2007-12-31,72.3890784,81.332014434262
2006-12-31,65.1440625,75.276613927641
2005-12-31,54.5210895,65.03363771967
2004-12-31,38.265,47.189516172578
2003-12-31,28.8307031,36.501707076449
2002-12-31,25.0232558,32.4032384736
2001-12-31,24.4438911,32.153447425086
2000-12-31,28.4954492,38.549444595148
1999-12-31,17.9700778,25.127583517735
1998-12-31,12.7156615,18.173020589298
1997-12-31,19.0925875,27.7118498831
1996-12-31,20.6684884,30.68750192606
1995-12-31,17.0166797,26.011513470295
1994-12-31,15.8173152,24.863389318802
1993-12-31,16.9716342,27.360975697781
1992-12-31,19.3208366,32.080713697977
1991-12-31,20.0033852,34.213866417301
1990-12-31,23.7258203,42.28841560541
1989-12-31,18.2261133,34.241134484098
1988-12-31,14.9238417,29.388109813245
1987-12-31,18.4350394,37.804326351283
1986-12-31,14.43,30.671254653285
1985-12-31,27.56,59.668168401487
1984-12-31,28.78,64.528416361886
1983-12-31,29.55,69.115254518072
1982-12-31,32.97,79.591629948187
1981-12-31,35.93,92.080803190319
1980-12-31,36.83,104.12386298544
1979-12-31,31.61,101.42934944904
1978-12-31,14.02,50.092900920245
1977-12-31,13.92,53.4731361456
1976-12-31,12.8,52.391097472
1975-12-31,11.53,49.9326323639
1974-12-31,11.58,54.7351573974
1973-12-31,3.29,17.2523062103
1972-12-31,2.48,13.8136046376
1971-12-31,2.24,12.8681719488
1970-12-31,1.8,10.793363724
1969-12-31,1.8,11.430734076
1968-12-31,1.8,12.047138298
1967-12-31,1.8,12.550325418
1966-12-31,1.8,12.91513608
1965-12-31,1.8,13.275753516
1964-12-31,1.8,13.50218772
1963-12-31,1.8,13.69088289
1962-12-31,1.8,13.854418704
1961-12-31,1.8,14.00537484
1960-12-31,1.9,14.929515259
1959-12-31,2.08,16.6055476912
1958-12-31,2.08,16.7509128592
1957-12-31,1.9,15.708523467
1956-12-31,1.93,16.5365458278
1955-12-31,1.93,16.7793336132
1954-12-31,1.93,16.7118925617
1953-12-31,1.93,16.7928218235
1952-12-31,1.71,14.9981210955
1951-12-31,1.71,15.3207898362
1950-12-31,1.71,16.5357770697
1949-12-31,1.78,17.3868388778
1948-12-31,1.99,19.2433896893
1947-12-31,1.9,19.802742742
1946-12-31,1.12,13.345640616
1945-12-31,1.05,13.580461272
1944-12-31,1.21,16.010668696
1943-12-31,1.2,16.155102036
1942-12-31,1.19,16.9990586556
1941-12-31,1.14,18.0269581224
1940-12-31,1.02,16.9325261364
1939-12-31,1.02,17.096481273
1938-12-31,1.13,18.6717132113
1937-12-31,1.18,19.1350413886
1936-12-31,1.09,18.3154753669
1935-12-31,0.97,16.4527511949
1934-12-31,1.0,17.38791048
1933-12-31,0.67,12.0369813728
1932-12-31,0.87,14.8295534103
1931-12-31,0.65,9.9378291415
1930-12-31,1.19,16.5943191638
1929-12-31,1.27,17.2572448987
1928-12-31,1.17,15.8984067177
1927-12-31,1.3,17.428677955
1926-12-31,1.88,24.7315537652
1925-12-31,1.68,22.3118759976
1924-12-31,1.43,19.4713614095
1923-12-31,1.34,18.2833505966
1922-12-31,1.61,22.3611231074
1921-12-31,1.73,22.5084218185
1920-12-31,3.07,35.6802299211
1919-12-31,2.01,27.0597959103
1918-12-31,1.98,30.604259961
1917-12-31,1.56,28.3207688556
1916-12-31,1.1,23.452247104
1915-12-31,0.64,14.6751728064
1914-12-31,0.81,18.7600738014
1913-12-31,0.95,22.3013230455
1912-12-31,0.74,17.79087034098
1911-12-31,0.61,15.189213143433
1910-12-31,0.61,15.189213143433
1909-12-31,0.7,18.0758092053
1908-12-31,0.72,18.59226089688
1907-12-31,0.72,17.928251579134
1906-12-31,0.73,18.85048674267
1905-12-31,0.62,16.01000243898
1904-12-31,0.86,22.20742273794
1903-12-31,0.94,24.27322950426
1902-12-31,0.8,21.452608727169
1901-12-31,0.96,26.772855691507
1900-12-31,1.19,33.187185700931
1899-12-31,1.29,35.976024835463
1898-12-31,0.91,25.378436124241
1897-12-31,0.79,22.031829162803
1896-12-31,1.18,32.908301787478
1895-12-31,1.36,37.928212229635
1894-12-31,0.84,22.525239163528
1893-12-31,0.64,16.52645413056
1892-12-31,0.56,14.46064736424
1891-12-31,0.67,17.30113166793
1890-12-31,0.87,22.46564858373
1889-12-31,0.94,24.27322950426
1888-12-31,0.88,22.72387442952
1887-12-31,0.67,17.30113166793
1886-12-31,0.71,18.33403505109
1885-12-31,0.88,22.72387442952
1884-12-31,0.84,21.69097104636
1883-12-31,1.0,24.900349415464
1882-12-31,0.78,18.75253900806
1881-12-31,0.86,20.67587634222
1880-12-31,0.95,22.83963084315
1879-12-31,0.86,21.414300497299
1878-12-31,1.19,28.60964284563
1877-12-31,2.42,52.726489887246
1876-12-31,2.56,55.77678269064
1875-12-31,1.35,28.52221842135
1874-12-31,1.17,23.992219025018
1873-12-31,1.83,35.441497334677
1872-12-31,3.64,70.49565590067
1871-12-31,4.34,84.052512804645
1870-12-31,3.86,70.821835916405
1869-12-31,3.64,63.446090310603
1868-12-31,3.63,63.271787864695
1867-12-31,2.41,40.006561394179
1866-12-31,3.74,59.262831608805
1865-12-31,6.59,99.882879872641
1864-12-31,8.06,119.5640607677
1863-12-31,3.15,59.357049147134
1862-12-31,1.05,24.402342427155
1861-12-31,0.49,12.65306644371
